"northing","easting"
132141.659842897,572304.643118382
133171.125232894,576048.294903059
137660.925825313,575752.710000332
130670.996892795,573214.222029038
141883.288999088,576514.518196508
144560.324785057,583508.834178504
139496.979197487,582900.648612529
145481.597760506,582472.278751619
137140.996328723,579157.883410677
136580.541696213,581493.594067544
140692.529080249,575540.956998803
138079.320958834,579133.195520714
140249.391642027,584205.06956866
142215.609734416,578651.746483251
143308.919302747,584815.465976857
139408.091272008,578797.077705398
138418.715204261,576053.353011403
145078.033228405,584210.552230477
138550.279637054,573145.376522187
130760.013838578,567001.405538619
130977.035761457,568944.024193078
131948.045162391,573447.080863919
127409.915227946,576795.569076277
131466.640923377,581425.318371579
127626.919775922,573000.508551225
128017.268140223,579681.579448469
132293.740091845,580474.078599736
133472.873198707,578579.366803542
132935.188022517,574239.788860176
133811.910899449,571950.037308689
128422.092509028,579014.595395438
135805.012527406,577208.031394612
127885.492494758,577236.961919509
126186.157966033,578582.015183315
125738.974584397,572074.997817595
133726.354991831,579620.475672092
131679.455065448,574832.072305307
128728.038838204,572605.10955067
126619.403529357,573677.464832723
127686.402410921,576152.169540524
132975.301130399,570707.598569348
136594.253992904,572110.384353772
140922.556944024,589333.027469907
140754.840623438,587010.821673013
140831.251281127,588993.284609448
138144.690185245,591150.366297048
142297.659641914,593186.425210815
135766.6441519,588739.936036021
139659.70741814,591637.680122163
139205.838562604,588972.572337668
141553.70699225,593728.193455189
141183.811356593,587206.809551362
140438.592292126,584875.580043495
140251.244926564,590403.535517361
137368.008886091,590344.29005459
140409.902394414,586308.575206213
135725.965613667,589253.771777134
136581.627686452,586442.225742396
132372.191158868,591633.991459604
134233.852892835,593762.979051005
140421.026701443,586999.299244341
134258.895538915,592242.492059369
137458.264285978,586571.119861118
130545.44195151,580386.408098154
128665.653860383,582408.47944729
127771.883499585,585649.129648823
126622.9913426,584777.39693962
129312.206113189,582428.056887276
134573.366703838,589084.746231977
127639.555753432,582379.98643646
127442.226399966,578941.229732558
128519.502911307,585846.103048865
131846.93411123,587951.043078769
124769.632062968,581390.221969802
133294.757413957,586084.144717734
128917.077242397,589789.39954564
129822.323292121,584114.345664065
127569.681342039,584588.325415775
123574.181345291,575556.674334593
121877.657371573,582093.409748934
123475.725781191,582871.045799274
126107.823866978,581110.584627185
127915.461092796,580365.459001061
124284.622782219,579566.670482676
122781.97347533,581224.201674692
131590.360743318,580963.685299542
130245.29864572,586702.278123554
133075.979042519,587932.742458023
133262.884578947,587175.017332993
132448.026140872,588137.184106633
132952.38756964,592744.367361683
134280.258489236,589106.859749597
133130.308711063,592682.253618352
136795.433655065,589670.914371088
137032.189322077,584459.40007139
135777.269256525,592374.698800817
129520.918301158,587712.111237776
138276.009126026,584270.446825903
139862.959090769,591274.620976858
132471.615137625,589901.180526987
128871.538398694,588951.860690769
131617.348080728,585713.701788489
138413.683451153,589248.505618144
138378.046129458,585220.733250119
128070.230790973,586742.951811571
129420.951990969,591771.378584486
132300.579279475,583617.058505677
132512.484421115,589851.710771862
